,prompt,completion
208,"The first man I really wanted to think me pretty, and—
“When you don’t try so hard,” he finished.
I looked back up. No one had ever said anything like that to me before.
He met my eyes for a few seconds.
The waiter reappeared, a skinny white frame, as straight as a flagpole.
Jonathan drew his hand away and then waited for me to", order
209,"You're not fit for visitors yet.""

Interpreting the look on Raych's face, Dors quickly added, ""I'm an exception because I'm your mother, Raych. Why would you want that woman to see you, anyway? You're in no condition to be seen.""

""All the more reason to see her,"" muttered", Raych
210,"‘Why did you take so long to return? Did you find anything? And can you smell that awful smell?’
Jack looked at the burning forest below them; the smoke beginning to engulf them. 
‘I suppose it will burn itself out eventually.’ He said, as they both rose above the level of the", smoke
211,"He must have literally meant there were going to be several first clues.”
	Dizzy was depressed. It was 9:45 and they were practically starting over with a new clue. He wondered how many people had gathered as many clues as they could on Main Street and gotten to work immediately. He feared they were already too far behind.
	“Don’t even think it,” Travis said, looking at", Dizzy
212,"Overpowering your mind as you can overpower a human's?"" 

""Yes, and shielding his presence from me."" There was mounting excitement in Stefan's voice. ""That's why he hasn't answered my calls. He wanted-"" 

""He wanted just what's happened to happen. He wanted you to doubt yourself, to think you were a killer.But it isn't true,", Stefan
213,"""Hmm."" Her gaze travelled to the other side of the menu. ""Too many to choose from.""

""What do you think of Bluebelle?"" he asked, setting his menu to the side.

""Looking for some utter nonsense for me spout?"" she couldn't help but say, and then quickly turned her attention back to the", menu
214,"I get closer within better view, but it seems I won't get close enough to throw my spear from here. I take a breath and think range.
Watching the squirrel feast up in the tree with the edge of a branch next to? It seems the squirrel is having more than lunch with that supply. I notice something; it's not just me, and the", squirrel
215,"In that instant she knew that Roku had pushed one of his memories into her mind, just as he had done when he and Bastian were trying to convince her to join them in the hunt for Alistair. She had a brief glimpse of flames, of a house consumed by fire, and of a woman kneeling before Roku, trying to comfort him in his rage.
Bastian stood looking down at Haven, frowning. He helped her to her feet, then knelt down next to", Roku
216,"The great master insisted that I return to your apartment and retrieve your plants, but did he give a thought to the poor wretch he sent out into the cold and snow? Non."" Levet gave a small sniff. ""I am no more than a pitiful servant in his eyes.""

""Styx sent you to get my", plants
217,"Sarah's next call was to Rome's hotel in Los Angeles; he wasn't in, but she hadn't expected him to be at that time of day. She left a message that she was beginning labor and told him which hospital she would be in. As she hung up a tear rolled down her cheek. She so wanted Rome there! But she wiped it away and touched her stomach. ""We're on our way,"" she told her", baby
218,"He bolted up when he remembered, but a hand appeared on his chest. A very weary-looking Vikus pressed him back down into the sheets. ""Stay, Gregor, or they will have to restrain you.""

""What's that mean?"" asked Gregor.

""Tie you to the bed,"" said", Vikus
219,"It’s nice to see you again. Traveling far?”
Alyssa pulled her eyes away and glanced at the floor. “Yes,” she answered in a quiet yet annoyed tone. She forced her eyes to rise and focused on placing her items on the counter as he moved aside.
He glanced at the pretty little girl beside her, then back to", Alyssa
220,"And the day after that.""

My heart thumped convulsively. It had happened. Against my will, despite the na**d girls and the smell of wolf and all of the things that hinted at future misery, I had fallen back in love with Cole.

I said, ""Good night,", Cole
221,"'People are coming up with new ideas in ship design all the time. Are you going to reach ahead and bring us back a ship that hasn't been invented yet?'

'That's an interesting idea, Khalad, but I wouldn't know where to look. The future hasn't happened yet, so how would I know where - or when - to find that kind of a", ship
222,"“Alex,” I said again, this time it came out sounding almost normal. Alex still did not respond. I reached up with my hand and shook him. He let out a groan. At least I knew he was still alive. The truck had hit us on the passenger side totaling it. I was baffled at the fact that he", survived
223,"Flagging a cab, I jumped into the backseat. Directions to my apartment were the only thing that stopped me from bursting into tears then and there.

Flinging the money into the front seat I jumped out of the car, the hem of my dress ripping up the back in my haste. Mortification ate at me as I struggled to keep my modesty intact in front of the", driver
224,"EBE-2 leads us to a place near another entrance and offers us water, at least we think it is water. Tastes like chemicals but it is water. Actually tastes good. [6]

SUBSEQUENT DAYS ON SERPO
The leader of the Ebens is a larger creature than the others. He seems to be more aggressive than the other", Ebens
225,"“I know I talk sense, but if it were common, I don’t think our economy would be in such a mess.”
With that her spot was over. She turned off her microphone, waved through the window at the producer, and slipped out of the booth.
Johnny read the police reports from the Vantage Heights neighborhood for a few quick laughs.
Mitzy didn’t laugh when she thought of Vantage", Heights
226,"Most people glanced at her, her stunning presence being so absorbing.  Lorenzo tore his sight away from where she was standing after getting her meal.  Billy waved at her.
“Come sit with us,” he told her.  Lorenzo choked on his enchiladas and had to take a huge gulp of milk.  
“She’s coming over,” whispered", Billy
227,"I sat up and looked at him. ""Do you want me to go?""

He shook his head. ""Nah. Just relax.""

""Okay. I think a toothbrush would be nice. Do you want some money? You paid for the room. The lease I can do is buy you a", toothbrush
228,"“Give me a hand moving him, will you? I’ll take his shoulders and you can get the feet.”
“Uh, sure,” said Maklavir hesitantly. He glanced over at Jade again. 
She was looking off into the forest. 
Maklavir touched her gently on the shoulder. “You sure you’re all right,", Jade
229,"Now, the next item on the agenda - '
Jock McLean burst back in at this point, breathless and indignant.
'It's raining,' he complained at first, and then, in a doom-laden voice, 'and there's a lad from the Council coming down the street.'
'How do you know he's from the", Council
230,"Collet motioned to two sealed evidence bags on the desk. ""And this?"" The man shrugged. ""Force of habit. I bag anything peculiar."" Collet walked over. Peculiar?

""This Brit's a strange one,"" the examiner said. ""Have a look at this."" He sifted through the evidence bags and selected one, handing it to", Collet
231,"Frustrated at myself, I moved through the gates, catching sight of three older boys kicking a football against the school wall and talking. I recognized one of them.

Marco.

I didn't know what his surname was because he was in fifth year and I was a third-year. I only knew of him because he was so popular his name had made its way down the", years
232,"You certainly weren't trying to channel Brennan's energy, yet you did. It's a subconscious thing for you. You will both have to work hard to overcome it.""

""Yes,"" I agreed, scanning the face of everyone surrounding me. ""I know. And I'll do it. We'll both work harder than we've ever worked at anything, won't we,", Brennan
233,"Hudson had said it was he that she was mad at, and maybe she was mad at him. But she hated me. It was evident in her entire posture.

A chill ran down my spine as, again, I realized she'd always be there. She'd always be threatening at the periphery of my life with", Hudson
234,"I shook my head, opening the gate.

There s no other way, Aislin. Time s up. This is it.

Well, I m waiting here.

She refused to step onto the sidewalk.

That s fine.

I walked for the front steps.

I d rather do this on my own,", anyway
235,"Daemon asked.

""No, it just means I'll have to knock you down first.""

Yes, he knew that flavor of Lucivar's temper, and he knew the man. Lucivar was primed for a fight-and right now, the opponent didn't much matter.

""Lady,"" Daemon said, never taking his eyes off", Lucivar
236,"The attendants are screaming and looking in every direction for some kind of instruction. But all I can focus on is getting Rhoda to safety. I search for her and see Aden leading her towards me. I step over the crown on the floor and run to them.
“I have to go,” Aden says quickly.
“I know—I’ll take", Rhoda
237,"The food was, incidentally, better than it smelled.

She put his salad in another bowl, dressed it and slid it along the counter to where he was eating and watching her.

She was busying herself putting away the food when he remarked, ""That must have been rough.""

""It happens.""

""It does, Abby, that doesn't mean it isn't", rough
238,"""Maybe when they get out they'll think twice before getting drunk, or doing drugs, or showing off to their buddies before getting behind the wheel of a car.""

Damon walks over to Caleb and gets into his personal space. He doesn't touch him; he just stands there. ""You'll be okay, Caleb.""

Caleb turns his face away, but as if he can't help the words from coming out against his will he says, ""I don't want to go back there,", Damon
239,"“I will take you back if you truly wish for it.”
Her breath caught as it so very often did as she met his gaze, the warmth of his expression the liveliness of his eye. “Well,” she mused. “We are halfway to the orchard now. I suppose it will do no harm, but only for a few minutes,", mind
240,"“Veronica,” said Charles, in his usual arrogant tone, “I need you to meet me at the Pyrenees restaurant as soon as you possibly can. It’s of the utmost importance.”
“I’m rather busy at the moment,” said Ronni, annoyed at being interrupted in her conversation with Pete and also impatient to get to Gage Park and see her mother.
“I won’t take no for an answer,” said", Charles
241,"""In duty, you mean,"" Isabella said.

He laughed. ""Sassenach, if you believed marriage was for duty alone, you'd never have eloped with me in the first place. When you met me you didn't think, Ah, here is a dashing rake. Let me run off with him so I can be", dutiful
242,"“Aunt Jenny,” I began, “I recently got hold of a journal. Sarah Smalls’ journal.” 
She brightened up at mention of the name. 
“Sarah Smalls. What on earth are you doing with her journal?” she asked.
I told her about the article I was planning on writing. I didn’t tell her from whom I had gotten the", journal
243,"She would make sure he did not come into school today.
Shirley had turned up for work, but was very fragile.
‘Are you sure you want to be here?’ Laura asked.
‘No, I’m not sure of anything, but I wouldn’t be any better at home, would I?  If you can put up with me I’d rather be here,’ answered", Shirley
244,"Evalle could count her friends on one hand, and none of them would help Kizira find her.

""Who told you we'd be together?"" Tristan asked.

""Vladimir Quinn.""

Evalle swung around, slamming her back to the wall. Her heart cramped. Quinn would never betray her. How would he even know she was here with", Tristan
245,"Yet Paul looked over at me as though he were grateful for the defense. I realized how close we were sitting-closer than we usually did, so near that my arm nearly brushed against his-but I didn't move away.

Instead I said, ""So does destiny create the math, or does math create our destiny?""

""Insufficient data,"" Paul said, but I could tell, in that moment, how much he wanted to believe in", destiny
246,"Scarab asked, when they had all disrobed and settled into the frothy water, earthen goblets of some strange liquor in all their hands, its cooling properties offsetting the almost unbearable heat of the bath. ""Have you already finished your work?""

Karou was grateful to Issa for answering. She didn't feel up to faking her way through any normal social interaction.

Where is he?

""The gleaning is done,"" said", Issa
247,"Gardner Paleston called her every evening and talked to her for an hour. She had more potential than any other student he'd ever had, he said.

""I want to teach you all I know, Rose,"" he said. ""I've never felt that way about anyone before. I want to give you all that I can, do you understand what I'm saying,", Rose
248,"Anyway, I thought it would be a good test of its strength if J.D. held it the proper way and I took a swing at it with the little mace I had on my belt. We had already finished crossing the river and we were about half a day from our base camp when I finally convinced him we should test it.
He held the shield and I took out my", mace
249,"The double deuces slipped into gear and followed Riley's Humvee as it turned onto the taxiway, then the main runway.

""Step on it, Jack!"" Smith said as he watched the shuttle reach the ramp that descended into the bunker.

Riley obliged. Gunning the deuce, he pulled up to the ramp just as the shuttle disappeared.

""Jon!""

But Smith had already jumped out and was running into the", bunker
250,"I think my family's figured out which world I ran away to and they're probably coming to get me.  But I don't want to go!  I like being out on my own.  There are more than enough of us to bring the storms.""
""Dragon!""  Leah exclaimed.  ""You're-you're a", dragon
251,"She looked at Garrett and remembered the face of a small boy standing next to his mother in the family photo at his sister’s house. “How’s the weather?” she said with a slight smile, hoping he would remember their conversation from the park. Then she turned to Hardy and apologized for following him. “You have to know I wouldn’t give up on you,", Hardy
252,"It had sharp claws for rending and tearing. One eye was wide open and staring at them through the thick wall of ice.

Joie let her breath out slowly. ""That's no dinosaur.""

""It has to be,"" Gabrielle said. ""It can't be a dragon. Don't tell me it's a", dragon
253,"""What's going on?"" Bonnie asked, sitting down, wiping at her eyes again. Fallen rose petals dotted the bench, and she flicked some of them off. A soft rumble of thunder came from far away.

Zander dropped to his knees in the dirt at her feet. ""I don't want to break up with you,", Bonnie
254,"Jia steered the carriage up into the hills and they finally arrived at a ridge overlooking a valley. This valley was filled with thousands of mulberry trees. They stretched across the valley and down as far as the eye could see. Workers moved amongst the trees with large sacks into which they placed the mulberry leaves that they had picked.
    “Food for the most treasured object in our province – the silkworm,” announced", Jia
255,"I couldn’t prevent myself from opening the third doll. As I twisted it ajar, I imagined that I could hear Alexander crying out in pain. This particular doll didn’t open quite so easily. I pulled with all my might, until it finally gave way, popping as it divulged its secrets. A strange sight greeted me as I viewed the interior of the", doll
256,"That this could very well be the end of the trail, and there was no Cassie here. He couldn't concentrate on that thought, he would snap if he did. There was something off about this place, something not right at all, and he had to stay focused on that. He had to keep hold of the hope that whatever was wrong here would somehow lead him to", Cassie
257,"Jackie looked at the other woman, studying her, looking for the family resemblance in the woman who was apparently her half sister.

Helen's brown hair was braided, with each of her twin braids falling forward over her shoulders. Her face was sweetly rounded, which seemed at odds with the power the woman wielded.

Jackie had seen firsthand what that woman could do with magical fire.

""I was just going down to the dining hall for some food,"" said", Jackie
258,"It was changing color again, the green bleeding into blue. He replaced it. Neither of us mentioned the change. 
“So a girl has to be easy for you to date her?” I asked. 
Foster grinned. “No, she just has to kiss. A kiss says a lot about a person. You can tell a great deal about the way they are just from the way they", kiss
259,"******

The following morning about eleven o'clock d'Angelay walked quickly into my room and shut the door. I saw immediately from his manner that something was wrong.
“Monsieur,” he said, “we must be very quick now. The Boche are here and they are searching the whole hospital.”
“Hellfire!” I exclaimed. “Where do you want me to", hide
260,"Todd replied: No I thought you looked familiar but I can’t recall.                                                                    The stranger told Todd: I’m Enoch; we met in your dream. Todd looked back again, this time he realized it really was Enoch; Todd stopped on the side of the road, leaned back and tried to see if he was dreaming.                                                                  When Enoch said: No Todd you’re not", dreaming
261,"“Sure.” Sara and Victoria both nodded.
“So what about me? Am I not trusted to bake a cake or what?” The three girls turned their heads and looked at Benjamin with surprise.
“Well, can you bake?”
“Can I bake? Are you really asking me if I can", bake
262,"At least he wasn't one of those ""on the make"" guys who kept one in his wallet ""just in case.""

""Hang on, let me go see if I can find one.""

Ace let her up.

Rhea raced to the bathroom and started looking through her drawers.

""Come on,"" she said under her breath as she", searched
263,"“If there was a tracking device in the chopper, they’ll know where we crashed.”
“I bet they know anyway,” said Marius. “It was remote control that shut down the chopper. There was nothing Marius could do.”
“They cut the engine from way back at the Dome?” asked Haven.
“Is the only possibility,” said", Marius
264,"""Sorry about the heat,"" she said. ""My AC went out two weeks ago, and I just haven't been around to replace it."" Sheaves of paper had been spread across the coffee table, the sofa, in numerous piles on the floor. Devlin counted three bulletin boards in the living room", alone
265,"Zoe’s mother seemed to like him well, so he thought that his chances were pretty good.
Zoe was waiting for him outside her apartment building when he arrived. He smiled broadly when he saw her. This was the first time that she had greeted him before he walked up to her second-floor home.
“Let’s go to the beach. I want to talk to you,” said", Zoe
266,"""And that's bad?""
""Yes. You want to know that you're giving money to good people, after all. That's what your board does."" She put that stack of mail to the side and moved on to the next. ""This pile is invitations."" It was, by far, the largest", pile
267,"As I looked at Hailey's album, I could tell that her arrival had been a blessed occasion.  I could see I was older in the picture, and I looked confident.  In some of the preceding pictures, I saw Doug with who must have been a very pregnant Cami at the hospital.  Doug looked like a proud uncle.  Everyone appeared truly pleased and upbeat at the arrival of", Hailey
268,"‘Oh yes, dear,’ Nell replied. ‘I’ve seen it all before. Coal.’
Mary pulled Nell away. ‘Nell, the Federation is bringing more and more into the dispute. Why, every time there’s a meeting we learn the Federation has done this or that.’
‘It’s the right time to do it,’ said", Nell
269,"Carlos's tanned face took on a reddish hue. ""No, sir.""

Caitlyn felt her own cheeks warm with a blush. Angus knows.

""We've added more security measures at the townhouse,"" Angus continued. ""Phineas and Carlos, I'd like for ye to move back there. We doona need one of our guards here if all the Vamps do their death-sleeping at the", townhouse
270,"Helping Elisabeth wasn't only the right thing to do; it was also important to Fabian. Really, what other choice did I have?

Cool fingers curled around my hand, squeezing once. I looked away from Fabian to meet Bones's steady gaze.

""You're not the only one who feels indebted to him,"" Bones said quietly. Then his mouth curled as he focused on", Fabian
271,"Then he looked up at me and spoke with difficulty, as if he were confessing to me.
“Nathan, I’ve been a bit rough on you.  It was only out of concern for my sister.”
“I realize that.  I’d be protective too.”
“Yeah, well, maybe I was too", protective
272,"Cap steps into the elevator and presses the button for the twentieth floor. “Well, I suppose you can walk me home,” he says. He grabs the bars behind him for support. I stand next to him and lean against the wall behind me.

“Can I ask you a question,", Cap
273,"Back up is on the way.

Niccolo felt his stomach knot. Inferno! More were indeed coming. He was in no shape to fight. On the other hand, the message said he still had an army. Very confusing. ""Buon. Tell me, who sent this?""

She slid her index finger vertically across the screen to show him the name of the", sender
274,"Old Yeller, the ugly hound Alexa convinced Nick to keep more than a year ago, lay in the small patch of sun leaking through the window and watched the puppy with an air of disapproval. The familiar blue and orange Mets bandanna wrapped around his neck gave off a distinguished appearance unheard of for a once mangy stray.

Maggie tried to avoid the subject. ""I can't believe you got a", puppy
275,"I returned to swimming wondering what I'd done to obviously offend him but with bigger things to think about. Ten laps later, I was ready to begin my day.

I climbed out of the pool and looked up to see Tristan standing on the deck next to the chair where I'd left my things. Dressed in a suit, he didn't look like he was there to", swim
276,"Vaxili moved towards him but Izebol waved him away with an abrupt gesture that stopped Vaxili short as if he had been struck in the face. He turned on his heel and stalked down the steps to take up a position in front of the first rank.
Izebol raised his arms and waited for silence. Then he called out, ‘Zabrazal grieves when his people grieve.’ Izebol paused, looked over the assembled company, and then fixed his eyes on", Vaxili
277,"His face cleared of expression, almost as if a curtain slammed down, closing out any audience to his soul.

She hadn't reached his inner depths yet, but with time and patience, she would. ""I have all the books,"" she said, accepting his parameters. ""That's what's so strange. On the phone, he said he wanted the", books
278,"That made a million questions tear through his mind-almost made him stop running. Mistress Jane. He couldn't possibly accept that she was on his side.

""Sato!""

He looked down to see Tick's face in the water, his hand reaching out for him. He was still thrashing as if he might", drown
279,"He scowled at Ben and Parkman and then looked questioningly at Paulson.  He had evidently seen the posse bring them in and could not figure out why they were out of the jail.
""Sy let these gents go,"" Paulson said in answer to the bartender's unspoken question.  ""We figured out, us that was in the bank that day, that it wasn't", them
280,"Then he turned to Mitzy and kissed her full on the mouth.
Her head spun. Her heart beat like thunder.
She wrapped her arms around him, letting her fingers thread through his thick, black hair. 
Then she pulled away.
He wrapped his arm around her waist. “It doesn’t matter what’s in here,", Mitzy
281,"He not only relished the task of ferreting out the provenance of some obscure artwork, but also enjoyed the recognition from her as a quasi authority.
“One of my students mentioned a painting that she viewed while visiting China. I think it was in Suzhou.” She paused.
“Suzhou?” he asked.
“No, no! It was the old city of Suzhou. That’s what she said, the old", city
282,"It was an illusion, of course, as most masks a vampire chose to wear were, but it was a face Vikirnoff recognized. Arturo had once been a hunter of the very thing he had become. Vikirnoff could only hope Arturo had recently turned and did not have centuries of wielding evil behind him.

""How many times must we do this,", Arturo
283,"“So how do you know about it?” Noah asks. “Because, you see, this isn’t Koolibar Street. Not any more. It’s Ambler Road now, since they changed the name. Renamed it after some local councillor, I think. But that was years ago. Only someone who grew up in Baytown would remember it used to be Koolibar", Street
284,"They are a treat where I come from.""

He made Madam Octa push a ball across the table, then got her to balance on top of it. He set up small pieces of gym gear, tiny weights and ropes and rings, and put her through her paces. She was able to do all the things a human could, like lift weights above her head and climb ropes and pull herself up on the", rings
285,"Ishmael walked up and down to try the new leg and went to find Jonr:
“The new leg!” he declared, turning it this way and that to show the leader.
“Yeah, looks fine. Put some leggings on!”
“Oh sorry. I forget about the clones’ inhibitions!”
“For the last time, we’re not", clones
286,"“Get your hands off me,” Rashi protested. “Don't you know who I am? I can't be treated this way.” And he looked at Atalai with pleading eyes. “What have I done, my Mistress, to deserve this?”
“That's what we need to find out, my friend,” said", Atalai
287,"""You told her we were having an affair,"" Ethan said. ""That's messed up.""

She thinned her lips in a tight smile. ""I did what I thought was best and you're going to thank me for it when you see what I found on her computer. She's been lying to you all along,", Ethan
288,"""Lissa, will you sit down and talk with me for a bit?"" Winkler asked.

There was a nice chair in the corner of the bedroom, so I pulled it over to the end of the bed. I didn't want to feel like I was talking to Winkler across a canyon or something. ""What's on your mind,", Winkler
289,"Dizzy was just a kid and Justin couldn’t hurt him without significant punishment. Dizzy took a breath to calm down and turned back to the pig.
	“Just solving this clue,” Dizzy said. He held up the phone and took a picture of the pig. Dizzy looked at the gravestone one last time and then turned to", Justin
290,"I think I'll take in some air before Tanner comes back for us.""

I relayed Mayzie's order to Christina, who had slipped back behind the counter. She whipped it up and slid it over.

""Keep what I said in mind,"" Mayzie said.

""I'm pretty sure I will,"" I said.

She giggled merrily, as if we were in", cahoots
291,"He must still be enamored with having to endure his sister-in-law’s lack of cleaning capabilities.
“Are there any messages for me?  Room 17?”
Again without looking up or checking who was asking, he said, “Nope.”  Well, it was a small motel.  I guess he would know if there were", messages
292,"He lurched to his feet, picked up the nearest object, a shoe, and hurled it at a locker.

""What's that noise?"" the person on the other end asked uneasily....

...Stupid, stupid, stupid. You can't lose control...

""Nothing,"" he said, recovering his flat tone. ""A shoe fell out of a", locker
293,"Cameron looked between Julian and Zane as Zane moved the hand bracing his gun and slid it into his jacket. He pulled out a leather wallet and tossed it to Julian.

Julian caught it deftly with one hand, then flipped it over to look at the identification within. He stared at it for a moment before looking up at", Zane
294,"I cross over to the corner where Aden is lying down with his back facing me.
I climb in my cot and stare at the roof, repeating Aden’s words in my head.
What would life be without you?
Aden’s life would be just as significant without me. I’m the one who would be worse off without him. I wouldn’t be alive at all if it weren’t for", Aden
295,"“Oh, just looking around,” she said.
“You’re going to get us kicked out,” said Ronni. And wouldn’t that just round off her day perfectly.
“Well, there aren’t any bathrooms on this floor,” said Donna, stepping through.
“Donna, every room has its own bathroom,” said", Ronni
296,"""Erin talked to a reporter,"" Liz told him. Erin was Brady's ex-girlfriend. They had broken up after he had visited Liz in October.

""What makes you think that? She's not the type to get involved with the press.""

""She is the press,"" Liz reminded him. Erin worked as an anchor for Baltimore Mornings, though it was kind of a stretch in Liz's mind to call her", press
297,"Ms. D'Miagmo was that teacher.

Trystan opened his mouth, but Brie cut him off, ""Ms. D'Miagmo, I think it's obvious that Trystan feels uncomfortable answering this question because of his religion. Isn't it against school policy to discuss faith issues in the classroom anyway?"" She flipped her golden hair over her shoulder and blinked her big blue eyes at the", teacher
298,"""Is that…?"" Zach asked.
""There's no way Kiyu dropped it twice."" I crept closer.
""Not a good idea, Julia.""
But he loaded a bolt into his crossbow and covered my careful approach. I was right. The piece of lace was the same one that I had found at the crime scene in the Houses and returned to", Kiyu
299,"""I know my limitations; I'm good at building museum-quality model railways that make people gasp with delight and amazement, but I'm not awesome like these other guys.""
""Nevertheless, you were chosen,"" said Gladys. ""You are The One.""
 Macklin stared at her with rapt attention. ""You really think I'm The One?"" he said.
""It's as plain as the beak on your face,"" said", Gladys
300,"You know how hypnotized people can get a blister if you tell them that you're touching them with something hot-even if it isn't hot. It's like that.""

Michael ran his hands through his hair. ""No, but Jenny, it's really hot. You can't even get near it.""

""That's because you believe it's", hot
301,"“Can you give me your cell phone number?” she said. “I may need to talk to you again.” After Georgina gave her the number, Sam raised her hand to summon Officer Garcia, who had been watching the interview through the windowed door to the office. “I appreciate your speaking with me,” she told", Georgina
302,"The choice of the opposing team was to get the ball in the first half. Hardy walked back to the sidelines, scanning the crowd again for any sign of Miracle.

He was getting more and more frustrated the longer he couldn't find her. He saw his family, his father glaring at him warningly. He saw many faces of people he knew, but there was no sign of", Miracle
303,"Maximilian watched from a tower and despaired. He could understand Atalai's grief but he could not condone open warfare and decided to try once more to convince her that a peaceful solution could be found.
They met as Atalai was on her way to plan the battle with her generals.
“Could I have a word with you please,", Atalai
304,"“I discovered that fact when I took over the listing after Brenda’s death,” Walker said tightly. “How did you find out?”
“I asked Detective Grimaldi if she had a copy of the listing agreement, and she faxed it to me. This morning.” 
Walker’s demeanor was making me nervous, and caused me to start babbling. “See, Alexandra Puckett told me that Brenda had met with someone at Beckett’s Bar to handle the details of the", listing
305,"“Anyone who has spent time in a kitchen can tell the difference,” replied Vasquez. “I know your wife does all the cooking just by that comment.  I’d be surprised if you could boil an egg.”
“People boil eggs,” said Timms with a chuckle.
“Get that child some food, before I prove that you can’t even make a bed,” said", Vasquez
306,"‘I have noticed that there is something different about you, you are always humming to yourself, you are more absent minded than usual, yet you seem to have loads of confidence, what’s up?’
Louie went a little bashful and explained to Pearl about Lulu. 
‘Louie that is just wonderful for you’, Pearl responded. ‘You really are a dark horse, you loveable bee. I am just so happy for you and", Lulu
307,"Andre brought her hands to his lips and brushed them with kisses. ""I hate to see you so blue, mon tresor.""

That rated a genuine smile from Tasha. ""You know, I never knew I wanted a child until I found myself knocked up with one."" She let out a half-laugh and made eye contact with", Andre
308,"A little shaken, I continued toward the lighthouse, which now loomed larger, almost heavy, its black-and-white stripes topped with red making it somehow authoritarian. I would have no further shelter before I reached my destination. I would stand out to whoever or whatever watched from that vantage as something unnatural in that landscape, something that was foreign. Perhaps even a threat.

* * *

It was almost noon by the time I reached the", lighthouse
309,"Dixon sighed heavily, muttered a ripe epithet under his breath and told himself to get to work. But the hardest work that lay ahead, he realized then, didn't involve Sorcerer at all. Because it wasn't Sorcerer's trust Dixon was worried about.

AVERY RETURNED TO HER ROOM after dinner feeling more foolish than she had ever felt in her life. Which was saying something, since there had been innumerable times in her life when she'd felt", foolish
310,"Chris’s voice had come from Paige’s left.
An electric buzzing sound cycling between highs and lows came from the same direction.  
Paige took a couple more steps down into the pit.  A dim orange candle flickered in a far corner casting a weak halo of light on what looked like a small desk.  She couldn’t make out much else in the room, and she couldn’t see", Chris
311,"He had done several jobs for Alcander and had been strung along with very little in return.
""Let's talk,"" said Alcander. The glass of the window was of exceptionally poor quality and Alcander stooped to peer through the opened half of the window. He gritted his teeth against the discomfort in his lower back.
""Tell me about the activity since he moved,"" said", Alcander
312,"'As far as we can understand it, he's creating a new home for wizardry'

Streamers of coloured light flashed about the indistinct ovoid, like a distant thunderstorm. The glow lit Coin's preoccupied face from below, giving it the semblance of a mask.

'I don't see how we will all fit in,' the bursar said. 'Carding, last night I saw-'

'It is finished,' said", Coin
313,"Liam took the mug from my hand and sipped it. ""Nice.""

""Get your own.""

He grinned. ""Why? Never learned to share?""

I pulled my mug back from him, nearly burning us both in the process.

""Okay, I forgot. I shouldn't try to come between you and", coffee
314,"The Hathaway girl?""

""Rose?"" she asked in astonishment. ""Why do you - ? Yes, of course. I'll get her.""

Lissa hurried toward guest housing, but I met her halfway. ""What's going on?"" I asked.

""I have no idea,"" said", Lissa
315,"“It just gets weirder, doesn’t it?” asked Julianna.
“It certainly seems to,” Dr. Hendricks agreed. “Now what do we propose we do?”
“It’s getting late, I think we should find a hotel and then some dinner,” proposed Milk.
“Sounds like a fine idea,” agreed", Julianna
316,"They’d never seen anyone like you. But I had. I realized I hadn’t imagined it. Ty did have a tail.”
“Was that his name? Ty?” The sandwich wasn’t going down easy and Sara took a sip of lemonade to loosen it from her throat.
“Well, he told me to call him", Ty
317,"“Ah, well. I only came early tonight because I will be very late tomorrow. A dinner.”
“I know. I’ve been invited.”
Sinclair stopped halfway up the stairs. “You’ve been invited to dinner at the earl’s?”
When Elinor nodded, he exclaimed, “By the", earl
318,"The detectives exchanged a look.

""Did you threaten her?"" asked Detective Holstijic.

""No.""

""Where did you go after the library?""

""Home.""

""Did you follow Marcie?""

""No. Like I said, I came home. Are you going to tell me what happened to", Marcie
319,"~
Isaac pointed out the graves as they rode up.  There were small little crosses that he had fashioned to mark out each one; nothing fancy, but well done for a fugitive from marauders.  Godfrey could sense the solemnity even before they came to a stop.  No one seemed to want to dismount, or that were on foot to approach the", graves
320,"A boy? Drugs? You can get anything you want here in Cancun, and I can take you there,” Pedro said.
“Just take me back to the villa, but tomorrow, or next trip, maybe. This life is still new to me.”
“We can bring someone over to the", villa
321,"""I see you took out a few of the guests.""

""Guests?""

""Don't worry, they had it coming. But there're three more of them, probably unarmed. They were playing cards in the dining room before you rolled in.""

""You okay? You seem-""

""No, I'm not", okay
322,"Kind people had dropped off a cold-cut platter so the Wynns could have sandwiches whenever they were hungry, and a pie, though Phillip anxiously told me he didn't know what kind it was. But he swore he had the name and a description of the dish written down.

""You better have a sandwich and a piece of pie. Then you'll know what kind it is,"" I said.

""Shouldn't I save all this for Mr. and Mrs.", Wynn
323,"As they began to argue playfully I went back to the textbook, opening to the appropriate page displayed on the front board and began to read the assignment.  But as I fiddled with my hands in my lap and read the words, I realized they were in English.  I didn’t understand what they were saying", though
324,"""The most important thing,"" Elena was saying earnestly, ""is to protect Meredith. We've gotten a warning, and we need to take advantage of it, not sit around worrying about where it came from. If something terrible - something I brought somehow - is coming, we'l deal with it when it gets here. Right now, we look out for", Meredith
325,"Her brow furrows like she's still working all this out. Her blue eyes are heavy and I can see her struggle to push her way through the cobwebs. She's trying to find her way to wakefulness and reality.

""Are you really here?""

""Why wouldn't I be?""

""Because you should be at work and I could be", dreaming
